file	token	line_no	occurrence_count
4_rellit/buddh/vinv11_u.txt	r	115	3
4_rellit/buddh/vinv11_u.txt	r	117	1
4_rellit/buddh/vinv_06u.txt	m	2427	1
4_rellit/saiva/kubjt_pu.txt	d	2697	1
4_rellit/saiva/kubjt_pu.txt	d	4857	1
4_rellit/saiva/kubjt_pu.txt	l	10703	1
4_rellit/saiva/kubjt_pu.txt	m	59	1
4_rellit/saiva/kubjt_pu.txt	m	357	1
4_rellit/saiva/kubjt_pu.txt	m	1557	1
4_rellit/saiva/kubjt_pu.txt	m	1659	1
4_rellit/saiva/kubjt_pu.txt	m	1921	1
4_rellit/saiva/kubjt_pu.txt	m	1935	1
4_rellit/saiva/kubjt_pu.txt	m	1939	1
4_rellit/saiva/kubjt_pu.txt	m	1973	1
4_rellit/saiva/kubjt_pu.txt	m	1975	1
4_rellit/saiva/kubjt_pu.txt	m	1981	1
4_rellit/saiva/kubjt_pu.txt	m	1999	1
4_rellit/saiva/kubjt_pu.txt	m	2031	1
4_rellit/saiva/kubjt_pu.txt	m	2077	1
4_rellit/saiva/kubjt_pu.txt	m	2239	1
4_rellit/saiva/kubjt_pu.txt	m	2765	1
4_rellit/saiva/kubjt_pu.txt	m	2787	1
4_rellit/saiva/kubjt_pu.txt	m	2789	1
4_rellit/saiva/kubjt_pu.txt	m	2791	1
4_rellit/saiva/kubjt_pu.txt	m	2793	1
4_rellit/saiva/kubjt_pu.txt	m	2853	1
4_rellit/saiva/kubjt_pu.txt	m	2983	1
4_rellit/saiva/kubjt_pu.txt	m	3025	1
4_rellit/saiva/kubjt_pu.txt	m	3513	1
4_rellit/saiva/kubjt_pu.txt	m	3557	1
4_rellit/saiva/kubjt_pu.txt	m	3595	1
4_rellit/saiva/kubjt_pu.txt	m	3699	1
4_rellit/saiva/kubjt_pu.txt	m	4235	1
4_rellit/saiva/kubjt_pu.txt	m	4601	1
4_rellit/saiva/kubjt_pu.txt	m	4627	1
4_rellit/saiva/kubjt_pu.txt	m	4795	1
4_rellit/saiva/kubjt_pu.txt	m	4819	1
4_rellit/saiva/kubjt_pu.txt	m	5083	1
4_rellit/saiva/kubjt_pu.txt	m	6097	1
4_rellit/saiva/kubjt_pu.txt	m	6119	1
4_rellit/saiva/kubjt_pu.txt	m	6257	1
4_rellit/saiva/kubjt_pu.txt	m	6397	1
4_rellit/saiva/kubjt_pu.txt	m	6401	1
4_rellit/saiva/kubjt_pu.txt	m	6543	1
4_rellit/saiva/kubjt_pu.txt	m	6873	1
4_rellit/saiva/kubjt_pu.txt	m	6903	1
4_rellit/saiva/kubjt_pu.txt	m	6981	1
4_rellit/saiva/kubjt_pu.txt	m	7075	1
4_rellit/saiva/kubjt_pu.txt	m	7227	1
4_rellit/saiva/kubjt_pu.txt	m	7799	1
4_rellit/saiva/kubjt_pu.txt	m	8209	1
4_rellit/saiva/kubjt_pu.txt	m	8333	1
4_rellit/saiva/kubjt_pu.txt	m	8423	1
4_rellit/saiva/kubjt_pu.txt	m	8707	1
4_rellit/saiva/kubjt_pu.txt	m	8879	1
4_rellit/saiva/kubjt_pu.txt	m	10437	1
4_rellit/saiva/kubjt_pu.txt	m	10657	1
4_rellit/saiva/kubjt_pu.txt	m	10873	1
4_rellit/saiva/kubjt_pu.txt	m	10887	1
4_rellit/saiva/kubjt_pu.txt	m	10935	1
4_rellit/saiva/kubjt_pu.txt	m	11061	1
4_rellit/saiva/kubjt_pu.txt	m	11189	1
4_rellit/saiva/kubjt_pu.txt	m	11201	1
4_rellit/saiva/kubjt_pu.txt	m	11277	1
4_rellit/saiva/kubjt_pu.txt	m	11829	1
4_rellit/saiva/kubjt_pu.txt	m	11833	1
4_rellit/saiva/kubjt_pu.txt	m	11837	1
4_rellit/saiva/kubjt_pu.txt	m	11903	1
4_rellit/saiva/kubjt_pu.txt	m	12063	1
4_rellit/saiva/kubjt_pu.txt	m	12113	1
4_rellit/saiva/kubjt_pu.txt	m	12257	1
4_rellit/saiva/kubjt_pu.txt	m	12299	1
4_rellit/saiva/kubjt_pu.txt	r	1505	1
4_rellit/saiva/kubjt_pu.txt	r	1553	1
4_rellit/saiva/kubjt_pu.txt	r	2557	1
