source_path,relative_path,source_chars,extracted_chars,canonical_chars,removed_chars,replacement_count,html_removed_chars,normalization_char_delta,decode_replacement_count,unknown_character_count
data/raw/gretil/1_veda/2_bra/satapath/sb_13_u.htm,1_veda/2_bra/satapath/sb_13_u.htm,116638,98325,88981,27657,8026,18313,9344,0,0
data/raw/gretil/1_veda/2_bra/satapath/sb_14_u.htm,1_veda/2_bra/satapath/sb_14_u.htm,201266,173643,156226,45040,16091,27623,17417,0,0
data/raw/gretil/1_veda/3_ara/sankharu.htm,1_veda/3_ara/sankharu.htm,94249,87545,85239,9010,12837,6704,2306,0,0
data/raw/gretil/1_veda/4_upa/aitup__u.htm,1_veda/4_upa/aitup__u.htm,11947,6306,5714,6233,768,5641,592,0,0
data/raw/gretil/1_veda/4_upa/brup___u.htm,1_veda/4_upa/brup___u.htm,151446,132074,123463,27983,17107,19372,8611,0,0
data/raw/gretil/1_veda/4_upa/chup___u.htm,1_veda/4_upa/chup___u.htm,137335,117234,105620,31715,14661,20101,11614,0,0
data/raw/gretil/1_veda/4_upa/isup___u.htm,1_veda/4_upa/isup___u.htm,7456,2222,1979,5477,279,5234,243,0,0
data/raw/gretil/1_veda/4_upa/kathop_u.htm,1_veda/4_upa/kathop_u.htm,22572,16074,14394,8178,2383,6498,1680,0,0
data/raw/gretil/1_veda/4_upa/mandup_u.htm,1_veda/4_upa/mandup_u.htm,6842,1789,1572,5270,200,5053,217,0,0
data/raw/gretil/1_veda/4_upa/prasup_u.htm,1_veda/4_upa/prasup_u.htm,18180,12058,10981,7199,1477,6122,1077,0,0
data/raw/gretil/1_veda/4_upa/svetu_pu.htm,1_veda/4_upa/svetu_pu.htm,23156,16754,14219,8937,2185,6402,2535,0,0
data/raw/gretil/1_veda/5_vedang/1_srauta/apsulb_u.htm,1_veda/5_vedang/1_srauta/apsulb_u.htm,32491,26125,21468,11023,2490,6366,4657,0,0
data/raw/gretil/1_veda/5_vedang/1_srauta/asvss_u.htm,1_veda/5_vedang/1_srauta/asvss_u.htm,383673,366445,294296,89377,14268,17228,72149,0,0
data/raw/gretil/1_veda/5_vedang/1_srauta/sankhssu.htm,1_veda/5_vedang/1_srauta/sankhssu.htm,440722,412904,304553,136169,16113,27818,108351,0,0
data/raw/gretil/1_veda/5_vedang/1_srauta/vaitss_u.htm,1_veda/5_vedang/1_srauta/vaitss_u.htm,118251,98591,98225,20026,11999,19660,366,0,0
data/raw/gretil/1_veda/5_vedang/2_grhya/asvgs_u.htm,1_veda/5_vedang/2_grhya/asvgs_u.htm,75444,67702,52362,23082,1615,7742,15340,0,0
data/raw/gretil/1_veda/5_vedang/2_grhya/jaimigsu.htm,1_veda/5_vedang/2_grhya/jaimigsu.htm,55430,49383,47675,7755,4571,6047,1708,0,0
data/raw/gretil/1_veda/5_vedang/2_grhya/kaussu_u.htm,1_veda/5_vedang/2_grhya/kaussu_u.htm,297387,255355,189528,107859,21953,42032,65827,0,0
data/raw/gretil/1_veda/5_vedang/2_grhya/kauthgsu.htm,1_veda/5_vedang/2_grhya/kauthgsu.htm,32211,26831,25776,6435,2521,5380,1055,0,0
data/raw/gretil/1_veda/5_vedang/2_grhya/manavgsu.htm,1_veda/5_vedang/2_grhya/manavgsu.htm,85544,72193,59452,26092,7611,13351,12741,0,0
data/raw/gretil/1_veda/5_vedang/2_grhya/sankhgsu.htm,1_veda/5_vedang/2_grhya/sankhgsu.htm,96299,86447,64457,31842,3693,9852,21990,0,0
data/raw/gretil/1_veda/5_vedang/2_grhya/vargs_u.htm,1_veda/5_vedang/2_grhya/vargs_u.htm,46710,39227,35414,11296,4904,7483,3813,0,0
data/raw/gretil/1_veda/5_vedang/2_paris/avpari_u.htm,1_veda/5_vedang/2_paris/avpari_u.htm,436035,415434,349652,86383,46498,20601,65782,0,0
data/raw/gretil/1_veda/5_vedang/2_paris/avpray_u.htm,1_veda/5_vedang/2_paris/avpray_u.htm,96421,82963,64894,31527,9019,13458,18069,0,0
data/raw/gretil/1_veda/5_vedang/3_pratis/rgvidh_u.htm,1_veda/5_vedang/3_pratis/rgvidh_u.htm,123070,109770,79936,43134,5917,13300,29834,0,0
data/raw/gretil/2_epic/mbh/mbh_01_u.htm,2_epic/mbh/mbh_01_u.htm,1708837,1599148,1195470,513367,147304,109689,403678,0,0
