file	token	count
6_sastra/7_ayur/vagaah_u.txt	u	3
1_veda/2_bra/satapath/sb_09_u.txt	e	1
1_veda/5_vedang/1_srauta/sankhssu.txt	e	1
1_veda/5_vedang/2_grhya/kaussu_u.txt	e	4
1_veda/5_vedang/2_grhya/sankhgsu.txt	e	1
1_veda/5_vedang/3_pratis/rgvidh_u.txt	e	3
3_purana/agp_bi_u.txt	e	388
3_purana/brndp1_u.txt	e	1
3_purana/garup1_u.txt	e	1
3_purana/garup3_u.txt	e	1
3_purana/lip_2__u.txt	e	1
3_purana/nardp1_u.txt	e	1
3_purana/vamp__u.txt	e	1
4_rellit/buddh/divyav_u.txt	e	1
4_rellit/buddh/vinsutru.txt	e	1
4_rellit/buddh/vinv_06u.txt	e	1
4_rellit/saiva/kubjt_pu.txt	e	16
4_rellit/saiva/malinivu.txt	e	1
5_poetry/1_natya/bharnatu.txt	e	2
5_poetry/2_kavya/jaygit2u.txt	e	9
5_poetry/4_narr/sokss_pu.txt	e	3
5_poetry/5_subhas/msubhs_u.txt	e	1
6_sastra/3_phil/buddh/nagvigvu.txt	e	2
6_sastra/3_phil/saiva/tantralu.txt	e	1
6_sastra/4_dharma/smrti/brhasppu.txt	e	1
6_sastra/5_artha/kautil_u.txt	e	148
6_sastra/6_kama/kamasutu.txt	e	1
6_sastra/8_jyot/brhajj_u.txt	e	1
1_veda/4_upa/chup___u.txt	m	2
1_veda/5_vedang/1_srauta/vaitss_u.txt	m	9
1_veda/5_vedang/2_grhya/kaussu_u.txt	m	7
1_veda/5_vedang/2_paris/avpari_u.txt	m	1
1_veda/5_vedang/3_pratis/rgvidh_u.txt	m	1
2_epic/mbh/mbh_02_u.txt	m	1
2_epic/mbh/mbh_07_u.txt	m	2
2_epic/mbh/mbh_08_u.txt	m	1
2_epic/mbh/mbh_09_u.txt	m	1
2_epic/mbh/mbh_12_u.txt	m	1
3_purana/garup1_u.txt	m	2
3_purana/narsippu.txt	m	1
4_rellit/buddh/mhvastuu.txt	m	14
4_rellit/buddh/vinsutru.txt	m	6
4_rellit/buddh/vinv08_u.txt	m	1
4_rellit/buddh/vinv_06u.txt	m	1
4_rellit/saiva/kubjt_pu.txt	m	66
5_poetry/4_narr/sokss_pu.txt	m	4
6_sastra/3_phil/buddh/vakobhau.txt	m	1
6_sastra/4_dharma/smrti/manu2p_u.txt	m	1
1_veda/2_bra/gopbra_u.txt	ū	5
1_veda/2_bra/kausibru.txt	ū	6
