file	line_no	category	matched_span	trigger_tokens	context
3_purana/agp_bi_u.txt	30254	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	30378	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	30701	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	30749	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	30861	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31050	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31097	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31118	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31151	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31186	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31290	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31424	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31520	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31545	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31602	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31695	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31784	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31830	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31893	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	31969	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32012	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32055	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32095	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32226	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32324	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32417	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32478	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32577	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32666	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32800	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	32928	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	33029	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	33082	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	33212	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	33247	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	33323	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	33625	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	33799	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	34161	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	34339	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	34394	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	34601	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	34835	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	34928	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	35021	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	35203	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	35562	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	35680	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	35761	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	35890	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	36067	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	36297	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	36458	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	36563	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	36869	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	36924	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	37089	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	37160	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	37339	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	37533	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	37661	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	37788	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	37888	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	38217	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	38327	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	38444	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	38704	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	38878	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	39202	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	39547	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	39668	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	39711	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	39863	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	39938	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	40097	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	40140	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	40318	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	40415	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	40486	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	40654	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	40953	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	41087	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	41309	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	41472	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	41709	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	42083	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	42538	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	42938	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43073	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43200	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43359	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43515	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43612	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43722	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43843	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	43996	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	44183	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	44260	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	44371	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	44508	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	44697	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	44812	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	45064	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	45191	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	45284	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	45491	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	45801	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	46018	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	46178	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	46253	editorial_or_european	chapter	chapter	chapter
3_purana/agp_bi_u.txt	46500	editorial_or_european	chapter	chapter	chapter
