rank,piece,clean_piece,score,vowel_count,categories
19884,ैरिह,ैरिह,-11.9312,2,starts_with_dependent_vowel
19887,▁कैस्चित्,कैस्चित्,-11.9314,2,ends_with_virama
19891,म्यहम्,म्यहम्,-11.9316,0,ends_with_virama
19896,▁देवेभ्यः,देवेभ्यः,-11.9319,2,contains_special_A
19898,▁स्वसंवेदन,स्वसंवेदन,-11.932,1,contains_special_A
19904,ांश्च,ांश्च,-11.9325,1,starts_with_dependent_vowel;contains_special_A
19908,ाञ्सर,ाञ्सर,-11.9328,1,starts_with_dependent_vowel
19916,ोद्योग,ोद्योग,-11.9336,2,starts_with_dependent_vowel
19924,ोपनयन,ोपनयन,-11.9342,1,starts_with_dependent_vowel
19925,ावगति,ावगति,-11.9342,2,starts_with_dependent_vowel
19926,समक्षं,समक्षं,-11.9344,0,contains_special_A
19929,▁दर्सयेत्,दर्सयेत्,-11.9345,1,ends_with_virama
19932,ियार्थसन्निकर्ष,ियार्थसन्निकर्ष,-11.9352,3,starts_with_dependent_vowel
19937,सृजद्,सृजद्,-11.9357,1,ends_with_virama
19940,▁वह्निर्,वह्निर्,-11.9359,1,ends_with_virama
19947,▁केचिदाहुः,केचिदाहुः,-11.9363,4,contains_special_A
19949,ौदार्य,ौदार्य,-11.9364,2,starts_with_dependent_vowel
19960,मिच्छन्,मिच्छन्,-11.9375,1,ends_with_virama
19961,ाचष्ट,ाचष्ट,-11.9375,1,starts_with_dependent_vowel
19964,▁संबद्ध,संबद्ध,-11.938,0,contains_special_A
19967,गमत्,गमत्,-11.9382,0,ends_with_virama
19971,▁गच्छेद्,गच्छेद्,-11.9386,1,ends_with_virama
19984,▁ह्येतत्,ह्येतत्,-11.9392,1,ends_with_virama
19985,वज्,वज्,-11.9392,0,ends_with_virama
20007,ुपसङ्ख्यानम्,ुपसङ्ख्यानम्,-11.9412,2,starts_with_dependent_vowel;ends_with_virama
20009,▁एभिर्,एभिर्,-11.9412,2,ends_with_virama
20015,ात्मस्वरूप,ात्मस्वरूप,-11.9416,2,starts_with_dependent_vowel
20022,ताडयत्,ताडयत्,-11.9423,1,ends_with_virama
20029,▁स्रग्,स्रग्,-11.9426,0,ends_with_virama
20034,▁दै,दै,-11.9431,1,simple_cv
20041,▁निर्दिसेत्,निर्दिसेत्,-11.9437,3,ends_with_virama
20043,ुल्लास,ुल्लास,-11.9438,2,starts_with_dependent_vowel
20046,▁दुर्मतिः,दुर्मतिः,-11.9441,2,contains_special_A
20055,ैध,ैध,-11.9452,1,starts_with_dependent_vowel
20061,गृह्णीयात्,गृह्णीयात्,-11.9458,3,ends_with_virama
20065,▁संबोध,संबोध,-11.9461,1,contains_special_A
20066,छ्,छ्,-11.9462,0,ends_with_virama
20085,ोऽप्यर्थ,ोऽप्यर्थ,-11.948,1,starts_with_dependent_vowel;contains_special_A
20091,क्षिपत्,क्षिपत्,-11.9481,1,ends_with_virama
20095,ापनयन,ापनयन,-11.9487,1,starts_with_dependent_vowel
20102,▁हन्यात्,हन्यात्,-11.9495,1,ends_with_virama
20109,▁ऽएत,ऽएत,-11.9498,1,contains_special_A
20118,मूचुः,मूचुः,-11.9504,2,contains_special_A
20122,▁संचित,संचित,-11.9508,1,contains_special_A
20128,ुष्ट्र,ुष्ट्र,-11.9515,1,starts_with_dependent_vowel
20135,मनामयम्,मनामयम्,-11.9519,1,ends_with_virama
20137,ष्टाविंसति,ष्टाविंसति,-11.9519,3,contains_special_A
20144,ूंस्च,ूंस्च,-11.9524,1,starts_with_dependent_vowel;contains_special_A
20146,▁यत्फलं,यत्फलं,-11.9528,0,contains_special_A
20153,▁संसृति,संसृति,-11.9538,2,contains_special_A
20155,द्युत्तरतन्त्रम्,द्युत्तरतन्त्रम्,-11.9539,1,ends_with_virama
20169,ास्विन,ास्विन,-11.9558,2,starts_with_dependent_vowel
20170,▁महर्षिभिः,महर्षिभिः,-11.9558,2,contains_special_A
20184,ोपपत्तौ,ोपपत्तौ,-11.9569,2,starts_with_dependent_vowel
20186,▁ह्यहम्,ह्यहम्,-11.9569,0,ends_with_virama
20187,प्राग्,प्राग्,-11.9571,1,ends_with_virama
20195,टीकायां,टीकायां,-11.9581,3,contains_special_A
20209,तिर्यक्,तिर्यक्,-11.9593,1,ends_with_virama
20213,▁संप्रहर्ष,संप्रहर्ष,-11.9596,0,contains_special_A
20214,ात्प्रभृति,ात्प्रभृति,-11.9596,3,starts_with_dependent_vowel
20219,▁विध्वंस,विध्वंस,-11.9602,1,contains_special_A
20224,ार्दिता,ार्दिता,-11.9605,3,starts_with_dependent_vowel
20236,▁निक्षिपेत्,निक्षिपेत्,-11.9612,3,ends_with_virama
20246,ित्येवमादि,ित्येवमादि,-11.9623,4,starts_with_dependent_vowel
