path,source,layer,chars,lines,compact_chars,duplicate_status,duplicate_of,layer_weight,duplicate_weight,final_weight,effective_chars
data/processed/gretil_devanagari/tei/transformations/html/sa_yamasmRti-s.txt,gretil,other,12463,419,11035,prefix_in_candidate,6_sastra/4_dharma/smrti/yssoutpu.txt,0.700,0.200,0.140,1744.8
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-Atmasiddhi.txt,gretil,other,285448,3472,262454,tei_unique,,0.700,1.000,0.700,199813.6
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-catuHzlokI.txt,gretil,other,1545,39,1355,tei_unique,,0.700,1.000,0.700,1081.5
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-gItArthasaMgraha.txt,gretil,other,5667,191,5042,tei_unique,,0.700,1.000,0.700,3966.9
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-Izvarasiddhi-alt.txt,gretil,other,52200,658,48315,tei_unique,,0.700,1.000,0.700,36540.0
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-Izvarasiddhi.txt,gretil,other,26193,497,23329,tei_unique,,0.700,1.000,0.700,18335.1
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-saMvitsiddhi-alt.txt,gretil,other,36812,1314,32246,tei_unique,,0.700,1.000,0.700,25768.4
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-saMvitsiddhi-comm.txt,gretil,other,91004,2041,83486,tei_unique,,0.700,1.000,0.700,63702.8
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-saMvitsiddhi.txt,gretil,other,36684,1767,32558,tei_unique,,0.700,1.000,0.700,25678.8
data/processed/gretil_devanagari/tei/transformations/html/sa_yAmuna-stotraratna.txt,gretil,rellit,15406,406,13479,tei_unique,,0.700,1.000,0.700,10784.2
data/processed/gretil_devanagari/tei/transformations/html/sa_yAska-nirukta.txt,gretil,other,207549,4938,183303,prefix_in_candidate,1_veda/5_vedang/3_pratis/niruktau.txt,0.700,0.200,0.140,29056.9
data/processed/gretil_devanagari/tei/transformations/html/sa_yazodhara-rasaprakAzasudhAkara.txt,gretil,other,98137,3231,86998,tei_unique,,0.700,1.000,0.700,68695.9
data/processed/gretil_devanagari/tei/transformations/html/sa_yazomitra-sphuTArthA-abhidharmakozavyAkhyA.txt,gretil,sastra,1311816,19680,1192173,tei_unique,,1.000,1.000,1.000,1311816.0
data/processed/gretil_devanagari/tei/transformations/html/sa_yogazataka.txt,gretil,poetry,14374,379,13252,prefix_in_candidate,6_sastra/7_ayur/yogasatu.txt,1.000,0.200,0.200,2874.8
data/processed/gretil_devanagari/tei/transformations/html/sa_yuktidIpikA.txt,gretil,other,329573,5159,301986,tei_unique,,0.700,1.000,0.700,230701.1
"data/processed/gretil_devanagari/tei/transformations/html/sa_zabara-mImAMsAsUtrabhASya-1,1,1-5.txt",gretil,other,30149,474,26882,tei_unique,,0.700,1.000,0.700,21104.3
data/processed/gretil_devanagari/tei/transformations/html/sa_zaGkhAyana-AraNyaka.txt,gretil,other,70779,1175,62464,tei_unique,,0.700,1.000,0.700,49545.3
data/processed/gretil_devanagari/tei/transformations/html/sa_zAGkhAyanagRhyasUtra.txt,gretil,other,49167,1230,43662,tei_unique,,0.700,1.000,0.700,34416.9
